Depth,GR_1st,IGR,Vsh_1st,GR_2nd,GRc_2nd,Vsh_2nd,GR_3rd,GRc_3rd,Vsh+3rd
m,API,,,API,API,%,API,API,%
200.4,54.31,0.418002704,0.224003606,51.14,,14.69285873,52.73,,14.49183705
200.5,54.31,0.418002704,0.224003606,54.57,,25.88433635,53.26,,15.78221167
200.6,52.61,27.9864879,36.98198387,57.38,,39.00129948,53.91,,17.46474841
200.7,52.61,0.385165154,0.180220205,58.14,,43.34332615,55.1,,20.85509554
200.8,61.52,0.557272552,0.409696736,58.65,,46.47817881,56.45,,25.24376222
200.9,67.04,0.66389801,0.551864014,58.9,,48.08362569,54.16,,18.14269702
201,67.04,0.66389801,0.551864014,58.63,,46.35173406,55.7,,22.72995567
201.1,70.01,0.721267143,0.628356191,56.51,,34.47680663,54.77,,19.8725988
201.2,70.01,0.721267143,0.628356191,54.7,,26.40190874,52.51,,13.9767022
201.3,62.8,0.581997296,0.442663061,55.68,,30.56402486,52.15,,13.15870838
201.4,53.89,0.409889898,0.21318653,57.4,,39.11074916,51.02,,10.78087252
201.5,53.89,0.409889898,0.21318653,57.85,,41.64139158,50.76,,10.27209654
201.6,49.64,0.327796021,0.103728028,58.18,,43.58258034,52.88,,14.84986755
201.7,49.64,0.327796021,0.103728028,58.81,,47.50031862,53.69,,16.88252684
201.8,43.7,0.213057755,-0.049256326,59.03,,48.93695488,54,,17.70678672
201.9,41.16,0.163994591,-0.114673878,57.57,,40.05134799,53.98,,17.65280495
202,41.16,0.163994591,-0.114673878,55.5,,29.76382888,54.85,,20.10770012
202.1,49.64,0.327796021,0.103728028,54.94,,27.37808085,54.58,,19.32199177
202.2,49.64,0.327796021,0.103728028,52.17,,17.60138239,53.28,,15.83230801
202.3,63.65,28.9864879,38.3153172,53.35,,21.38765671,50.65,,10.06094242
202.4,61.52,0.557272552,0.409696736,52.47,,18.5156462,51.11,,10.96020921
202.5,61.52,0.557272552,0.409696736,53.02,,20.27631471,52.37,,13.65495823
202.6,63.22,0.590110102,0.453480137,50.53,,13.12655206,53.54,,16.49310862
202.7,63.22,0.590110102,0.453480137,50.95,,14.19311103,54.65,,19.52358535
202.8,75.1,0.819586633,0.759448844,52.26,,17.87234375,55.07,,20.7643812
202.9,76.37,0.844118215,0.79215762,55.2,,28.46658021,54.94,,20.37453203
203,76.37,0.844118215,0.79215762,56.05,,32.26204092,55.74,,22.85914483
203.1,73.4,0.786749082,0.715665443,54.58,,25.92387435,56.74,,26.26942618
